/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-143540.png,275,347,333,435,A
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-143540.png,341,344,391,437,B
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-143540.png,401,342,450,435,0
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-143540.png,460,346,510,436,9
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-143540.png,519,348,562,443,1
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-143540.png,104,486,149,591,T
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-143540.png,162,490,225,586,M
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-143540.png,235,489,277,582,F
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-143540.png,289,490,338,591,2
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-143540.png,350,484,379,600,/
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-143540.png,390,486,442,592,3
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-143540.png,449,488,499,599,6
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-143540.png,510,489,557,595,0
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-143540.png,570,488,623,600,C
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-143540.png,632,491,686,595,C
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-143540.png,279,629,339,719,M
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-143540.png,346,633,398,725,2
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-143540.png,407,627,452,729,0
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-143540.png,463,628,511,728,3
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-143540.png,519,625,567,729,3
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-134003.png,251,270,318,360,A
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-134003.png,327,273,392,361,A
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-134003.png,402,273,458,360,2
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-134003.png,466,273,521,360,0
/home/abert/Documents/NumeriCube/eurosilicone/gcaesthetics-implantbox/dataset/step4_ocr/ds_step4_letters/FULL-2019-04-26-134003.png,537,274,583,361,7
